analysis,outcome,exposure,model,term,n_cases,n_obs,rr_ci,rr,lci,uci,log_rr,se,n_imps
V1 definite - supplemental,ih1,AI stage (3-level),adjusted,ai3High,700,40700,"1.07 (0.85, 1.37)",1.0747120272631132,0.8460766731427971,1.3651315279189287,0.07205274407722846,0.12203981498335632,20
V1 definite - supplemental,ih1,MVM x AI interaction,adjusted,mvm21,700,40700,"1.18 (0.98, 1.43)",1.1848771918425334,0.983677651895399,1.4272296997329137,0.16963913364063604,0.09494701978412733,20
V1 definite - supplemental,ih1,MVM x AI interaction,adjusted,ai1,700,40700,"1.11 (0.90, 1.37)",1.1108981454034428,0.8993370059150466,1.3722271866319535,0.1051688281500484,0.10778891600491956,20
V1 definite - supplemental,ih1,MVM x AI interaction,adjusted,mvm21:ai1,700,40700,"1.20 (0.85, 1.70)",1.2020554121632971,0.8479149574356173,1.704106291839756,0.18403293501991014,0.17806523942960698,20
V1 definite - supplemental,ih1,Tumor (possible chorangioma),adjusted,chorangioma1,699,40546,"2.54 (0.97, 6.65)",2.5432752263707856,0.972038815591995,6.6543113025090985,0.9334527095929992,0.4907205363139833,20
V1 definite - primary,ih1,MVM any vs none,adjusted+IPW,mvm21,700,40700,"1.25 (1.07, 1.46)",1.2507103513044455,1.0688999476304257,1.4634450926186606,0.22371167094724215,0.08014369267519149,20
V1 definite - primary,ih1,MVM score (continuous),adjusted+IPW,mvm,700,40700,"1.12 (1.03, 1.21)",1.1178545833565972,1.0316513572392787,1.2112608205889486,0.11141129771923185,0.0409441427910577,20
V1 definite - primary,ih1,AI any vs none,adjusted+IPW,ai1,700,40700,"1.20 (1.02, 1.42)",1.2030998635189436,1.017315531833314,1.4228125260122968,0.18490144561617797,0.08557863225157876,20
V1 definite - site,ih1,MVM any vs none,adjusted+site+IPW,mvm21,700,40700,"1.14 (0.96, 1.35)",1.1405066756046487,0.9623001148470063,1.3517149764713177,0.13147261595152257,0.08668445062497318,20
V1 definite - site,ih1,MVM score (continuous),adjusted+site+IPW,mvm,700,40700,"1.05 (0.97, 1.15)",1.0531336229883546,0.96588703972986,1.148261010085371,0.05177012252587952,0.04412168889311758,20
V1 definite - site,ih1,AI any vs none,adjusted+site+IPW,ai1,700,40700,"1.14 (0.96, 1.35)",1.137723870345462,0.9615183238710222,1.3462204234887676,0.12902966157351076,0.08585271332665324,20
V1 definite - supplemental,ih1,MVM grade (3-level),adjusted+IPW,mvm3Low,700,40700,"1.25 (1.06, 1.47)",1.2465390594052868,1.05557808729446,1.4720461189239886,0.2203709587535021,0.08483795502711046,20
V1 definite - supplemental,ih1,MVM grade (3-level),adjusted+IPW,mvm3High,700,40700,"1.28 (0.90, 1.81)",1.2758753111938224,0.8995590407151653,1.8096175304066286,0.2436324616476953,0.1783076796599504,20
V1 definite - supplemental,ih1,AI stage (3-level),adjusted+IPW,ai3Low,700,40700,"1.32 (1.07, 1.63)",1.3195683117582169,1.071513849616099,1.6250471517659693,0.2773046465633606,0.10624091085139603,20
V1 definite - supplemental,ih1,AI stage (3-level),adjusted+IPW,ai3High,700,40700,"1.07 (0.84, 1.36)",1.0695737748683287,0.8414019159528838,1.3596214106435984,0.06726022787031333,0.1224214584681126,20
V1 definite - supplemental,ih1,MVM x AI interaction,adjusted+IPW,mvm21,700,40700,"1.18 (0.98, 1.42)",1.1780520170784377,0.9776063013677617,1.4195965727726036,0.1638622413669243,0.09515841132647133,20
V1 definite - supplemental,ih1,MVM x AI interaction,adjusted+IPW,ai1,700,40700,"1.11 (0.90, 1.37)",1.1122113250139738,0.9001455636473986,1.3742377693635976,0.10635021825317834,0.10793316816484036,20
V1 definite - supplemental,ih1,MVM x AI interaction,adjusted+IPW,mvm21:ai1,700,40700,"1.20 (0.85, 1.70)",1.2002152859652024,0.8461009048024035,1.702535388495947,0.18250094567380928,0.17837632619697963,20
V1 definite - supplemental,ih1,Tumor (possible chorangioma),adjusted+IPW,chorangioma1,699,40546,"2.64 (1.01, 6.90)",2.644258272685394,1.0129560520474947,6.90267045498367,0.9723905997775817,0.4895498772516116,20
V2 suspect = present - crude,ih2,MVM any vs none,crude,mvm2_num,930,40700,"1.25 (1.09, 1.43)",1.2472583257816874,1.0894265734665043,1.4279561093151252,0.22094780304776404,0.06902873705283323,20
V2 suspect = present - crude,ih2,MVM score (continuous),crude,mvm_num,930,40700,"1.09 (1.01, 1.16)",1.0851296228062972,1.0142074263459813,1.1610113155393604,0.08169944788092379,0.03448571487785707,20
V2 suspect = present - crude,ih2,AI any vs none,crude,ai_num,930,40700,"1.25 (1.08, 1.45)",1.2518634957584418,1.0833701059553151,1.4465621705803149,0.2246332377868877,0.07375336057687856,20
V2 suspect = present - primary,ih2,MVM any vs none,adjusted,mvm21,930,40700,"1.27 (1.11, 1.45)",1.2664174789513254,1.1064689650152622,1.4494877684809788,0.23619203156721705,0.06888683639621729,20
V2 suspect = present - primary,ih2,MVM score (continuous),adjusted,mvm,930,40700,"1.11 (1.04, 1.19)",1.114303943757933,1.0399112947592828,1.1940184565087384,0.10822994428917329,0.03525231034401995,20
V2 suspect = present - primary,ih2,AI any vs none,adjusted,ai1,930,40700,"1.19 (1.03, 1.37)",1.1863882594635808,1.0269346335403637,1.3706004805199732,0.17091361585834922,0.07364047699088676,20
V2 suspect = present - site,ih2,MVM any vs none,adjusted+site,mvm21,930,40700,"1.13 (0.98, 1.30)",1.1280670419829277,0.9769415057335871,1.3025705671626302,0.12050558569174237,0.0733847376173043,20
V2 suspect = present - site,ih2,MVM score (continuous),adjusted+site,mvm,930,40700,"1.04 (0.97, 1.13)",1.0437329384669967,0.9681932362968657,1.1251663469656052,0.04280365067039936,0.03833022348194479,20
V2 suspect = present - site,ih2,AI any vs none,adjusted+site,ai1,930,40700,"1.10 (0.95, 1.27)",1.1019818172595082,0.953621481403558,1.2734234172066303,0.0971102108300884,0.07377483016082853,20
V2 suspect = present - supplemental,ih2,MVM grade (3-level),adjusted,mvm3Low,930,40700,"1.28 (1.11, 1.48)",1.284105747689658,1.1144932825714469,1.4795311887794247,0.2500625598902868,0.07227689457504596,20
V2 suspect = present - supplemental,ih2,MVM grade (3-level),adjusted,mvm3High,930,40700,"1.16 (0.84, 1.59)",1.158667607220527,0.8429717983700586,1.5925925714454199,0.14727073049005204,0.16229209485751223,20
V2 suspect = present - supplemental,ih2,AI stage (3-level),adjusted,ai3Low,930,40700,"1.27 (1.06, 1.52)",1.2657741164581697,1.056282559689161,1.5168139426319274,0.23568388478388075,0.09231028562679601,20
V2 suspect = present - supplemental,ih2,AI stage (3-level),adjusted,ai3High,930,40700,"1.09 (0.89, 1.34)",1.0943484980506992,0.892497493580671,1.3418509786297486,0.09015920724911713,0.10402590861958014,20
V2 suspect = present - supplemental,ih2,MVM x AI interaction,adjusted,mvm21,930,40700,"1.21 (1.04, 1.43)",1.2145979072663409,1.0350676688547844,1.4252672754893532,0.19441308149808245,0.08160524305201049,20
V2 suspect = present - supplemental,ih2,MVM x AI interaction,adjusted,ai1,930,40700,"1.12 (0.94, 1.35)",1.1216534091036416,0.9351270390017005,1.3453855120015767,0.1148038548374599,0.09279425671960642,20
V2 suspect = present - supplemental,ih2,MVM x AI interaction,adjusted,mvm21:ai1,930,40700,"1.14 (0.84, 1.54)",1.1373126689826554,0.8413787072739682,1.53733401599771,0.1286681716719853,0.15376611536944182,20
V2 suspect = present - supplemental,ih2,Tumor (possible chorangioma),adjusted,chorangioma1,929,40546,"4.24 (2.29, 7.83)",4.235321302213136,2.2896929895581795,7.834214724324978,1.4434591935173418,0.31379665848669397,20
V2 suspect = present - primary,ih2,MVM any vs none,adjusted+IPW,mvm21,930,40700,"1.26 (1.10, 1.45)",1.2647275249850622,1.1046238204500922,1.4480365920436977,0.23485670370986553,0.06905707177692308,20
V2 suspect = present - primary,ih2,MVM score (continuous),adjusted+IPW,mvm,930,40700,"1.11 (1.04, 1.19)",1.1096313120044914,1.035732985841483,1.18880219652409,0.10402780880246117,0.035162466254571964,20
V2 suspect = present - primary,ih2,AI any vs none,adjusted+IPW,ai1,930,40700,"1.19 (1.03, 1.37)",1.1860274814073841,1.0263259813199361,1.3705793405370736,0.1706094718141477,0.07378778313435386,20
V2 suspect = present - site,ih2,MVM any vs none,adjusted+site+IPW,mvm21,930,40700,"1.13 (0.98, 1.30)",1.128067951111515,0.9762766557559908,1.3034597261157783,0.12050639160857815,0.07373248243779829,20
V2 suspect = present - site,ih2,MVM score (continuous),adjusted+site+IPW,mvm,930,40700,"1.04 (0.96, 1.12)",1.0399957604808951,0.9647688376886328,1.1210884302704909,0.03921663668429469,0.03830785176526846,20
V2 suspect = present - site,ih2,AI any vs none,adjusted+site+IPW,ai1,930,40700,"1.10 (0.95, 1.27)",1.1021608516009287,0.9533387600088885,1.2742149944583796,0.09727266341933657,0.07400899742595424,20
V2 suspect = present - supplemental,ih2,MVM grade (3-level),adjusted+IPW,mvm3Low,930,40700,"1.28 (1.11, 1.48)",1.2839699314517181,1.1139761325523183,1.479904942931714,0.24995678712107314,0.07245973002215224,20
V2 suspect = present - supplemental,ih2,MVM grade (3-level),adjusted+IPW,mvm3High,930,40700,"1.15 (0.83, 1.58)",1.1474310434889234,0.8341364991676731,1.5783963426559338,0.13752556832680696,0.16269581136510194,20
V2 suspect = present - supplemental,ih2,AI stage (3-level),adjusted+IPW,ai3Low,930,40700,"1.28 (1.07, 1.53)",1.2769584419305315,1.0653164821842251,1.5306464226239838,0.24448103300521362,0.092453628376959765,20
V2 suspect = present - supplemental,ih2,AI stage (3-level),adjusted+IPW,ai3High,930,40700,"1.08 (0.88, 1.33)",1.0823848584850588,0.8822244144286739,1.3279580146695642,0.07916680894165457,0.10432429905772599,20
V2 suspect = present - supplemental,ih2,MVM x AI interaction,adjusted+IPW,mvm21,930,40700,"1.21 (1.03, 1.43)",1.2139477458861836,1.0341046110262384,1.42506774849373,0.193877648783572,0.08180699316813071,20
V2 suspect = present - supplemental,ih2,MVM x AI interaction,adjusted+IPW,ai1,930,40700,"1.12 (0.93, 1.34)",1.121080902683955,0.9344619005310851,1.3449691096537788,0.1142933115875412,0.09289680326650807,20
V2 suspect = present - supplemental,ih2,MVM x AI interaction,adjusted+IPW,mvm21:ai1,930,40700,"1.13 (0.83, 1.52)",1.127251846489587,0.8335038365841987,1.5245241469093354,0.11978267636569631,0.15403043376894696,20
V2 suspect = present - supplemental,ih2,Tumor (possible chorangioma),adjusted+IPW,chorangioma1,929,40546,"4.40 (2.39, 8.09)",4.395446292031293,2.3876420483320753,8.091643435257767,1.4805690713813668,0.3113585628035124,20
